#,A,Z,Q[MeV],Egamma[MeV],Eelec[MeV],Eneutrino[MeV],tau[s]
115,97,37,10.062,0.6542438473000001,3.3377210000000006,3.8605348,0.24395973141432367
116,89,38,1.5022,-0.0013100645840001812,0.587061841024,0.9164482235600001,6302619.880053292
117,91,38,2.699,0.7071547558649999,0.6434848860000001,0.996490932,50119.22572048259
118,92,38,1.949,1.2401438500000002,0.24000015,0.468856,13560.756306339901
119,93,38,4.141,1.91134491,0.90058819,1.3290669,643.1534492282998
120,94,38,3.506,1.416620497,0.8392274430000001,1.2501520599999998,108.63493657893895
121,95,38,6.091,1.1423662149999996,2.203350604,2.7452831810000005,34.48041147724622
122,96,38,5.412,0.8629700100000002,2.0050657899999997,2.5439642,1.543683693751191
123,97,38,7.535,2.017564225,2.1531695,2.6542760000000003,0.6189161725413654
124,99,38,8.125,1.2560714451900001,3.1086641399999997,3.72072274,0.3880849659991313
125,101,38,9.73,0.9635392305900001,3.5695779999999995,4.1041419999999995,0.17023801482489762
126,90,39,2.2756,-0.004697358641220006,0.93231400218922,1.3479833564519998,332656.6225281772
127,91,39,1.5443,0.0004289020000001198,0.6029996779999999,0.94087142,7293204.303184505
128,92,39,3.643,0.25091020620000015,1.4502047777999998,1.9418850159999999,18385.70560108895
129,93,39,2.895,0.0940155974000001,1.1722885406,1.6286958619999998,52871.88785849873
130,94,39,4.918,0.7627011939999999,1.8139398480000004,2.341358958,1618.703835877417
131,95,39,4.452,1.088725602,1.43699622,1.9262781779999998,891.5855352693794
132,96,39,7.109,0.079940427426,3.1805881236999998,3.807037868,7.703991518347066
133,97,39,6.821,1.8198865458000002,2.1490098,2.6929879999999997,5.410106403333613
134,99,39,6.973,0.36758983999999995,2.97608826,3.6293219,2.1409594406792216
135,101,39,8.106,0.36838200000000043,3.5431060000000003,4.194512,0.6492127684000333
136,95,40,1.1262999999999999,0.7327432164000001,0.117004228,0.27110814600000005,7981515.261348662
137,97,40,2.666,0.8707828289999999,0.7048975049999999,1.090319666,86989.3172634573
138,99,40,4.719,0.4635733100000001,1.8390369899999999,2.4163897000000003,3.029659585866824
139,100,40,3.419,0.2271724599999998,1.3516749399999999,1.8401526000000001,10.24313479031164
140,101,40,5.731,0.5600126532999999,2.1765144,2.7343378,3.318198594044615
141,95,41,0.9256,0.7644740927479999,0.0434292512,0.11674971559999998,4361587.96398443
142,96,41,3.19206,2.446400478,0.24908719,0.496572332,121272.94513712627
143,97,41,1.942,0.6649765388684001,0.46753897790000004,0.801994124,6241.098746885656
144,98,41,4.591,0.32096781599999996,1.78025217,2.30994878,4.126107816942436
145,99,41,3.635,0.24900936569999998,1.39030494,1.8811696999999998,21.64042561333445
146,100,41,6.402,0.707869305,2.514651957,3.1188723499999997,2.0197730572445494
147,101,41,4.628,0.23212595700000002,1.8325936999999999,2.3580776,10.243134790311638
148,102,41,7.263,2.0935060859999997,2.275605,2.851218,6.203588675822543
149,108,41,11.204,0.6188340600000001,4.448664300000001,4.143156,0.2856536180960148
150,99,42,1.3578,0.1420639613451,0.38962621309999995,0.6927275684,342389.62035203056
151,101,42,2.825,1.4499944000000005,0.522306,0.8526995999999999,1264.6664728432654
152,102,42,1.012,0.01834559896,0.3499538,0.642169,978.1472377227173
153,104,42,2.155,0.07176948,0.69884273573,1.04881427,86.5617024533378
154,105,42,4.96,0.50635913,1.9169205,2.4653452000000002,52.36982998426937
155,106,42,3.648,-0.5021321799999998,1.75161158,2.3985206,12.594727706960652
156,108,42,5.174,0.282625068,2.238692,2.580523517,1.5725375945689704
157,110,42,6.499,0.39709305000000006,2.729382,3.348328,0.42703773210313317
158,100,43,3.2064000000000004,0.07584119569000025,1.31917334381,1.8113854605000002,22.57817738991228
159,101,43,1.614,0.33263476000000014,0.47356862,0.80779662,1230.9074088864636
160,102,43,4.534,-0.12449399000000039,2.7247533,1.93374069,218.43227316225133
161,103,43,2.663,0.24548951999999957,0.98128674,1.4362237400000002,78.19407121618184
